,country_code,sector_id,to_node,Industry,unit_energy_use_converted,energy_use_converted,energy_carrier_tc,energy_carrier_EB,2025,2030,2040,2050
0,AT,chemical,other-chemicals,other-chemicals-production-alternative,mwh_t_ethylene_eq,1.341627430508873,elec,electricity,0.14817351598173514,0.14121004566210046,0.1343607305936073,0.1273972602739726
1,AT,chemical,other-chemicals,other-chemicals-production-alternative,mwh_t_ethylene_eq,0.08115306301516513,elec,electricity-heat-pump,0.28470319634703195,0.28036529680365296,0.27191780821917805,0.2676940639269407
2,AT,chemical,other-chemicals,other-chemicals-production-alternative,mwh_t_ethylene_eq,2.4100637991715677,CH4,natural_gas,0.228310502283105,0.228310502283105,0.228310502283105,0.228310502283105
3,AT,chemical,pharmaceuticals,pharmaceuticals-production-alternative,mwh_t_ethylene_eq,6.595725415786743,elec,electricity,0.14817351598173514,0.14121004566210046,0.1343607305936073,0.1273972602739726
4,AT,chemical,pharmaceuticals,pharmaceuticals-production-alternative,mwh_t_ethylene_eq,0.31640881957552397,elec,electricity-heat-pump,0.28470319634703195,0.28036529680365296,0.27191780821917805,0.2676940639269407
5,AT,chemical,pharmaceuticals,pharmaceuticals-production-alternative,mwh_t_ethylene_eq,3.4917962101310014,CH4,natural_gas,0.228310502283105,0.228310502283105,0.228310502283105,0.228310502283105
6,AT,food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-alternative,mwh_mwh,1.8282553537094197,elec,electricity,0.14817351598173514,0.14121004566210046,0.1343607305936073,0.1273972602739726
7,AT,food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-alternative,mwh_mwh,0.0913851787132694,elec,electricity-heat-pump,0.28470319634703195,0.28036529680365296,0.27191780821917805,0.2676940639269407
8,AT,machinery-equipment,machinery-equipment,machinery-equipment-production-alternative,mwh_mwh,1.26660174768683,elec,electricity,0.14817351598173514,0.14121004566210046,0.1343607305936073,0.1273972602739726
9,AT,machinery-equipment,machinery-equipment,machinery-equipment-production-alternative,mwh_mwh,0.08271903896299306,elec,electricity-heat-pump,0.28470319634703195,0.28036529680365296,0.27191780821917805,0.2676940639269407
10,AT,machinery-equipment,machinery-equipment,machinery-equipment-production-alternative,mwh_mwh,0.12204132580549704,CH4,natural_gas,0.228310502283105,0.228310502283105,0.228310502283105,0.228310502283105
11,AT,non-ferrous-metals,alumina,alumina-production-alternative,mwh_t,,elec,electricity,0.14817351598173514,0.14121004566210046,0.1343607305936073,0.1273972602739726
12,AT,non-ferrous-metals,alumina,alumina-production-alternative,mwh_t,,elec,electricity-heat-pump,0.28470319634703195,0.28036529680365296,0.27191780821917805,0.2676940639269407
13,AT,non-ferrous-metals,alumina,alumina-production-alternative,mwh_t,,CH4,natural_gas,0.228310502283105,0.228310502283105,0.228310502283105,0.228310502283105
14,AT,non-ferrous-metals,aluminium-primary,aluminium-primary-production-alternative,mwh_t,,elec,electricity,0.14817351598173514,0.14121004566210046,0.1343607305936073,0.1273972602739726
15,AT,non-ferrous-metals,aluminium-primary,aluminium-primary-production-alternative,mwh_t,,elec,electricity-heat-pump,0.28470319634703195,0.28036529680365296,0.27191780821917805,0.2676940639269407
16,AT,non-ferrous-metals,aluminium-secondary,aluminium-secondary-production-alternative,mwh_t,1.6019489364767225,elec,electricity,0.14817351598173514,0.14121004566210046,0.1343607305936073,0.1273972602739726
17,AT,non-ferrous-metals,aluminium-secondary,aluminium-secondary-production-alternative,mwh_t,0.0017405052731083975,elec,electricity-heat-pump,0.28470319634703195,0.28036529680365296,0.27191780821917805,0.2676940639269407
18,AT,non-ferrous-metals,other-non-ferrous-metals,other-non-ferrous-metals-production-alternative,mwh_t_lead_eq,3.919409367781102,elec,electricity,0.14817351598173514,0.14121004566210046,0.1343607305936073,0.1273972602739726
19,AT,non-ferrous-metals,other-non-ferrous-metals,other-non-ferrous-metals-production-alternative,mwh_t_lead_eq,0.004582258856471048,elec,electricity-heat-pump,0.28470319634703195,0.28036529680365296,0.27191780821917805,0.2676940639269407
20,AT,ceramics-and-other-non-metallic-mineral-products-excluding-cement-and-glass,ceramics-and-other-non-metalic-minerals,ceramics-and-other-non-metalic-minerals-production-alternative,mwh_t_bricks_eq,0.42357720976678787,elec,electricity,0.14817351598173514,0.14121004566210046,0.1343607305936073,0.1273972602739726
21,AT,ceramics-and-other-non-metallic-mineral-products-excluding-cement-and-glass,ceramics-and-other-non-metalic-minerals,ceramics-and-other-non-metalic-minerals-production-alternative,mwh_t_bricks_eq,0.012738913418315703,elec,electricity-heat-pump,0.28470319634703195,0.28036529680365296,0.27191780821917805,0.2676940639269407
22,AT,other-industrial-sectors,other-industrial-sectors,other-industrial-sectors_production-alternative,mwh_mwh,2.3263203976177005,elec,electricity,0.14817351598173514,0.14121004566210046,0.1343607305936073,0.1273972602739726
23,AT,other-industrial-sectors,other-industrial-sectors,other-industrial-sectors_production-alternative,mwh_mwh,0.0255883229753206,elec,electricity-heat-pump,0.28470319634703195,0.28036529680365296,0.27191780821917805,0.2676940639269407
24,AT,pulp-and-paper,paper,paper-production-alternative,mwh_t,0.16625720380966652,elec,electricity,0.14817351598173514,0.14121004566210046,0.1343607305936073,0.1273972602739726
25,AT,pulp-and-paper,paper,paper-production-alternative,mwh_t,0.7054241557771544,elec,electricity-heat-pump,0.28470319634703195,0.28036529680365296,0.27191780821917805,0.2676940639269407
26,AT,pulp-and-paper,printing-and-media,printing-and-media-production-alternative,mwh_t_paper_eq,1.0625754155271623,elec,electricity,0.14817351598173514,0.14121004566210046,0.1343607305936073,0.1273972602739726
