,country_code,sector_id,to_node,Industry,unit_energy_use_converted,energy_use_converted,energy_carrier_tc,energy_carrier_EB,2025,2030,2040,2050
0,AT,chemical,other-chemicals,other-chemicals-production-alternative,mwh_t_ethylene_eq,1.341627430508873,elec,electricity,12.557077625570777,11.415525114155253,11.415525114155253,11.415525114155253
1,AT,chemical,other-chemicals,other-chemicals-production-alternative,mwh_t_ethylene_eq,0.08115306301516513,elec,electricity-heat-pump,176.9406392694064,171.23287671232873,159.8173515981735,154.10958904109592
2,AT,chemical,other-chemicals,other-chemicals-production-alternative,mwh_t_ethylene_eq,2.4100637991715677,CH4,natural_gas,10.273972602739727,10.273972602739727,10.273972602739727,10.273972602739727
3,AT,chemical,pharmaceuticals,pharmaceuticals-production-alternative,mwh_t_ethylene_eq,6.595725415786743,elec,electricity,12.557077625570777,11.415525114155253,11.415525114155253,11.415525114155253
4,AT,chemical,pharmaceuticals,pharmaceuticals-production-alternative,mwh_t_ethylene_eq,0.31640881957552397,elec,electricity-heat-pump,176.9406392694064,171.23287671232873,159.8173515981735,154.10958904109592
5,AT,chemical,pharmaceuticals,pharmaceuticals-production-alternative,mwh_t_ethylene_eq,3.4917962101310014,CH4,natural_gas,10.273972602739727,10.273972602739727,10.273972602739727,10.273972602739727
6,AT,food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-alternative,mwh_mwh,1.8282553537094197,elec,electricity,12.557077625570777,11.415525114155253,11.415525114155253,11.415525114155253
7,AT,food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-alternative,mwh_mwh,0.0913851787132694,elec,electricity-heat-pump,176.9406392694064,171.23287671232873,159.8173515981735,154.10958904109592
8,AT,machinery-equipment,machinery-equipment,machinery-equipment-production-alternative,mwh_mwh,1.26660174768683,elec,electricity,12.557077625570777,11.415525114155253,11.415525114155253,11.415525114155253
9,AT,machinery-equipment,machinery-equipment,machinery-equipment-production-alternative,mwh_mwh,0.08271903896299306,elec,electricity-heat-pump,176.9406392694064,171.23287671232873,159.8173515981735,154.10958904109592
10,AT,machinery-equipment,machinery-equipment,machinery-equipment-production-alternative,mwh_mwh,0.12204132580549704,CH4,natural_gas,10.273972602739727,10.273972602739727,10.273972602739727,10.273972602739727
