sector_id,to_node,Industry,from_node,unit,2025,std,2030,2040,2050
ceramics-and-other-non-metallic-mineral-products-excluding-cement-and-glass,ceramics-and-other-non-metalic-minerals,ceramics-and-other-non-metalic-minerals-production-alternative,elec,mwh_t_bricks_eq,0.47175257556073913,0.09131135070034875,0.47175257556073913,0.47175257556073913,0.47175257556073913
chemical,other-chemicals,other-chemicals-production-alternative,CH4,mwh_t_ethylene_eq,3.3796326848237204,1.0409070566565992,3.3796326848237204,3.3796326848237204,3.3796326848237204
chemical,other-chemicals,other-chemicals-production-alternative,elec,mwh_t_ethylene_eq,1.6937968599962094,0.6540159586459475,1.6937968599962094,1.6937968599962094,1.6937968599962094
chemical,pharmaceuticals,pharmaceuticals-production-alternative,CH4,mwh_t_ethylene_eq,2.733262784614042,1.6037006650382803,2.733262784614042,2.733262784614042,2.733262784614042
chemical,pharmaceuticals,pharmaceuticals-production-alternative,elec,mwh_t_ethylene_eq,2.0255293577742064,1.6892737888451486,2.0255293577742064,2.0255293577742064,2.0255293577742064
food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-alternative,elec,mwh_mwh,1.869703993757145,0.05976461136485611,1.869703993757145,1.869703993757145,1.869703993757145
machinery-equipment,machinery-equipment,machinery-equipment-production-alternative,CH4,mwh_mwh,0.12373626735621841,0.05889291693712211,0.12373626735621841,0.12373626735621841,0.12373626735621841
machinery-equipment,machinery-equipment,machinery-equipment-production-alternative,elec,mwh_mwh,1.3416823905735973,0.12374920385680506,1.3416823905735973,1.3416823905735973,1.3416823905735973
non-ferrous-metals,alumina,alumina-production-alternative,CH4,mwh_t,2.083424538899774,0.46857852016814394,2.083424538899774,2.083424538899774,2.083424538899774
non-ferrous-metals,alumina,alumina-production-alternative,elec,mwh_t,1.4336443327134434,0.31845682825623406,1.4336443327134434,1.4336443327134434,1.4336443327134434
non-ferrous-metals,aluminium-primary,aluminium-primary-production-alternative,elec,mwh_t,14.80825693218536,1.2149787501802614,14.80825693218536,14.80825693218536,14.80825693218536
non-ferrous-metals,aluminium-secondary,aluminium-secondary-production-alternative,elec,mwh_t,1.7059206860563947,0.30220524878131494,1.7059206860563947,1.7059206860563947,1.7059206860563947
non-ferrous-metals,other-non-ferrous-metals,other-non-ferrous-metals-production-alternative,elec,mwh_t_lead_eq,3.42129139546645,0.6770585063530722,3.42129139546645,3.42129139546645,3.42129139546645
other-industrial-sectors,other-industrial-sectors,other-industrial-sectors_production-alternative,elec,mwh_mwh,2.29042262482353,0.0827506748929748,2.29042262482353,2.29042262482353,2.29042262482353
pulp-and-paper,paper,paper-production-alternative,elec,mwh_t,0.7336619060385409,0.19502910807646287,0.7336619060385409,0.7336619060385409,0.7336619060385409
pulp-and-paper,printing-and-media,printing-and-media-production-alternative,elec,mwh_t_paper_eq,1.411928483226553,0.3042507251232513,1.411928483226553,1.411928483226553,1.411928483226553
pulp-and-paper,pulp,pulp-production-alternative,elec,mwh_t,3.3492510668620277,1.2824014473244598,3.3492510668620277,3.3492510668620277,3.3492510668620277
textiles-and-leather,leather-and-textile,leather-and-textile-production-alternative,elec,mwh_mwh,0.790635531359573,0.1328597631258649,0.790635531359573,0.790635531359573,0.790635531359573
transport-equipment,transport-equipment,transport-equipment-production-alternative,CH4,mwh_mwh,0.1111183311464492,0.0562716811462689,0.1111183311464492,0.1111183311464492,0.1111183311464492
transport-equipment,transport-equipment,transport-equipment-production-alternative,elec,mwh_mwh,1.3432121901756038,0.14746792943638506,1.3432121901756038,1.3432121901756038,1.3432121901756038
wood-and-wood-products,wood-and-wood-products,wood-and-wood-products_production-alternative,elec,mwh_mwh,0.907122011621222,0.3067549358538046,0.907122011621222,0.907122011621222,0.907122011621222
