sector_id,to_node,Industry,from_node,unit,2025,std,2030,2040,2050
ceramics-and-other-non-metallic-mineral-products-excluding-cement-and-glass,ceramics-and-other-non-metalic-minerals,ceramics-and-other-non-metalic-minerals-production-reference,CH4,mwh_t_bricks_eq,0.18353884634939338,0.10452494530175893,0.18353884634939338,0.18353884634939338,0.18353884634939338
ceramics-and-other-non-metallic-mineral-products-excluding-cement-and-glass,ceramics-and-other-non-metalic-minerals,ceramics-and-other-non-metalic-minerals-production-reference,HC,mwh_t_bricks_eq,0.08140178854044766,0.0687281653107704,0.08140178854044766,0.08140178854044766,0.08140178854044766
ceramics-and-other-non-metallic-mineral-products-excluding-cement-and-glass,ceramics-and-other-non-metalic-minerals,ceramics-and-other-non-metalic-minerals-production-reference,bio,mwh_t_bricks_eq,0.10294107764332318,0.07429572637190102,0.10294107764332318,0.10294107764332318,0.10294107764332318
ceramics-and-other-non-metallic-mineral-products-excluding-cement-and-glass,ceramics-and-other-non-metalic-minerals,ceramics-and-other-non-metalic-minerals-production-reference,coal,mwh_t_bricks_eq,0.08661156105797553,0.07087827032306433,0.08661156105797553,0.08661156105797553,0.08661156105797553
ceramics-and-other-non-metallic-mineral-products-excluding-cement-and-glass,ceramics-and-other-non-metalic-minerals,ceramics-and-other-non-metalic-minerals-production-reference,elec,mwh_t_bricks_eq,0.11016524997599107,0.04390141362032182,0.11016524997599107,0.11016524997599107,0.11016524997599107
chemical,other-chemicals,other-chemicals-production-reference,CH4,mwh_t_ethylene_eq,2.4704671817980453,1.3009140104495176,2.4704671817980453,2.4704671817980453,2.4704671817980453
chemical,other-chemicals,other-chemicals-production-reference,HC,mwh_t_ethylene_eq,0.9166966212016229,0.8884653107038308,0.9166966212016229,0.9166966212016229,0.9166966212016229
chemical,other-chemicals,other-chemicals-production-reference,bio,mwh_t_ethylene_eq,0.14232682623412551,0.2256846448069357,0.14232682623412551,0.14232682623412551,0.14232682623412551
chemical,other-chemicals,other-chemicals-production-reference,coal,mwh_t_ethylene_eq,0.20549663530931137,0.5531496039897588,0.20549663530931137,0.20549663530931137,0.20549663530931137
chemical,other-chemicals,other-chemicals-production-reference,elec,mwh_t_ethylene_eq,1.745907588939451,0.7371172583689068,1.745907588939451,1.745907588939451,1.745907588939451
chemical,pharmaceuticals,pharmaceuticals-production-reference,CH4,mwh_t_ethylene_eq,2.3996516610782077,1.9093521588636166,2.3996516610782077,2.3996516610782077,2.3996516610782077
chemical,pharmaceuticals,pharmaceuticals-production-reference,HC,mwh_t_ethylene_eq,0.7656312662400493,0.794167460040575,0.7656312662400493,0.7656312662400493,0.7656312662400493
chemical,pharmaceuticals,pharmaceuticals-production-reference,bio,mwh_t_ethylene_eq,0.15925403751107556,0.3338536841860157,0.15925403751107556,0.15925403751107556,0.15925403751107556
chemical,pharmaceuticals,pharmaceuticals-production-reference,coal,mwh_t_ethylene_eq,0.17050606195880424,0.5571002356721483,0.17050606195880424,0.17050606195880424,0.17050606195880424
chemical,pharmaceuticals,pharmaceuticals-production-reference,elec,mwh_t_ethylene_eq,2.133866818987212,1.8292588424973615,2.133866818987212,2.133866818987212,2.133866818987212
food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-reference,CH4,mwh_mwh,0.9248786437895481,0.35834499790359675,0.9248786437895481,0.9248786437895481,0.9248786437895481
food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-reference,HC,mwh_mwh,0.2123763493876808,0.25769443161724764,0.2123763493876808,0.2123763493876808,0.2123763493876808
food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-reference,bio,mwh_mwh,0.09182770974984257,0.09455431898404894,0.09182770974984257,0.09182770974984257,0.09182770974984257
food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-reference,coal,mwh_mwh,0.03970944100851029,0.09443946723308312,0.03970944100851029,0.03970944100851029,0.03970944100851029
food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-reference,elec,mwh_mwh,0.739494879155775,0.16287296307582,0.739494879155775,0.739494879155775,0.739494879155775
food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-reference,heat,mwh_mwh,0.031135386749847196,0.007019599322331311,0.031135386749847196,0.031135386749847196,0.031135386749847196
machinery-equipment,machinery-equipment,machinery-equipment-production-reference,CH4,mwh_mwh,0.48667685200188093,0.20375973246106616,0.48667685200188093,0.48667685200188093,0.48667685200188093
machinery-equipment,machinery-equipment,machinery-equipment-production-reference,HC,mwh_mwh,0.10596353996052015,0.10711286498012791,0.10596353996052015,0.10596353996052015,0.10596353996052015
machinery-equipment,machinery-equipment,machinery-equipment-production-reference,bio,mwh_mwh,0.02685022815755247,0.051457376252356093,0.02685022815755247,0.02685022815755247,0.02685022815755247
machinery-equipment,machinery-equipment,machinery-equipment-production-reference,coal,mwh_mwh,0.004159009243761217,0.012305983814797168,0.004159009243761217,0.004159009243761217,0.004159009243761217
machinery-equipment,machinery-equipment,machinery-equipment-production-reference,elec,mwh_mwh,1.0713479662597538,0.22388495729398547,1.0713479662597538,1.0713479662597538,1.0713479662597538
machinery-equipment,machinery-equipment,machinery-equipment-production-reference,heat,mwh_mwh,0.09532361885017476,0.03399941563213555,0.09532361885017476,0.09532361885017476,0.09532361885017476
non-ferrous-metals,alumina,alumina-production-reference,CH4,mwh_t,2.636636172037527,0.468698174063286,2.636636172037527,2.636636172037527,2.636636172037527
