sector_id,to_node,Industry,unit,2025,2030,2040,2050,2025_sd,2030_sd,2040_sd,2050_sd,costs
ceramics-and-other-non-metallic-mineral-products-excluding-cement-and-glass,ceramics-and-other-non-metalic-minerals,ceramics-and-other-non-metalic-minerals-production-alternative,eur-yr_t_bricks_eq,7.917121861542369,7.323222408861953,7.1847996206561735,7.115588226553284,1.254394234101528,1.1490150468504179,1.1395046736353642,1.1348485100529042,capex
chemical,other-chemicals,other-chemicals-production-alternative,eur-yr_t_ethylene_eq,72.0959980671645,69.71508984661251,68.59671444362351,68.03752674212903,12.77276836601079,12.298703584193774,12.118237939574001,12.02961965015153,capex
chemical,pharmaceuticals,pharmaceuticals-production-alternative,eur-yr_t_ethylene_eq,90.61192953171485,87.26924437340018,84.69315179089611,83.40510549964408,41.17824978107128,39.55532012268867,38.48433375003248,37.95118164598668,capex
food-beverages-and-tobacco,food-beverages-tobacco,food-beverages-tobacco-production-alternative,eur-yr_mwh,38.885962483691145,36.32359874131285,35.25360260955986,34.71860454368338,0.48070610739582237,0.4614115801082667,0.4348263398245554,0.4237640487080423,capex
machinery-equipment,machinery-equipment,machinery-equipment-production-alternative,eur-yr_mwh,31.887663337820964,29.97359603562458,29.017430036336812,28.53934703669293,2.843428312714128,2.837252078359086,2.562119877505453,2.4246879348891985,capex
non-ferrous-metals,alumina,alumina-production-alternative,eur-yr_t,40.07417491779321,38.419073931754234,38.37277218787098,38.349621315929355,6.782696694539465,6.51460171433267,6.52326346696172,6.527770954497119,capex
non-ferrous-metals,aluminium-primary,aluminium-primary-production-alternative,eur-yr_t,188.39446412133546,171.42211588836602,171.25225253249886,171.16732085456528,15.304551837743666,13.926103037450012,13.912011288141885,13.905541216554523,capex
non-ferrous-metals,aluminium-secondary,aluminium-secondary-production-alternative,eur-yr_t,21.665058145370914,19.710891222274938,19.69396902314342,19.685507923577664,3.8465419690064833,3.5001684617961795,3.4965254506447048,3.4947066512309175,capex
non-ferrous-metals,other-non-ferrous-metals,other-non-ferrous-metals-production-alternative,eur-yr_t_lead_eq,43.54992217235028,39.6279911503551,39.58712305731477,39.56668901079461,8.49252136854627,7.720888243837887,7.720439722924783,7.7202746890382,capex
other-industrial-sectors,other-industrial-sectors,other-industrial-sectors_production-alternative,eur-yr_mwh,33.832041491028235,31.07654193602034,30.724387297426205,30.548309978129137,1.2206196990068237,1.1574400310641608,1.1050361054713527,1.0801945596134428,capex
pulp-and-paper,paper,paper-production-alternative,eur-yr_t,105.01246793494612,101.51384827608076,94.86108310733802,91.53470052296666,27.016994426057114,26.112191305074617,24.405775476046063,23.552569114378525,capex
pulp-and-paper,printing-and-media,printing-and-media-production-alternative,eur-yr_t_paper_eq,38.85867292932364,36.659966385476885,35.19267629077595,34.45903124342549,9.067050121429379,8.724741448838687,8.194889727043963,7.932654002861387,capex
pulp-and-paper,pulp,pulp-production-alternative,eur-yr_t,43.88382006289512,40.009723695358126,39.88284769335931,39.819409692359905,16.757531685458833,15.276053440538973,15.229930636897771,15.206904736360187,capex
textiles-and-leather,leather-and-textile,leather-and-textile-production-alternative,eur-yr_mwh,52.17924682201736,50.103051093323906,47.16894171268496,45.701887022365504,2.7486733880509275,2.7772893268930523,2.4709460131291685,2.3177882115086517,capex
transport-equipment,transport-equipment,transport-equipment-production-alternative,eur-yr_mwh,31.91508466391263,29.9954419083425,29.029703142064456,28.546833758925438,3.833020981056219,3.8245843597523574,3.4549319274556862,3.270221879381212,capex
wood-and-wood-products,wood-and-wood-products,wood-and-wood-products_production-alternative,eur-yr_mwh,50.91466757442423,48.78125499560235,46.03654207486398,44.6641856144948,4.673852972572346,4.783204013233101,4.195556210778209,3.9019446862864706,capex
