configuration_id;configuration;configuration_product_id;horizon;is_mix;is_reference_route;configuration_active;data_source_id;configuration_abbreviation;configuration_description;configuration_remark;configuration_source;configuration_year;mix_2018;mix_2030;mix_2040;mix_2050
177;REF(H2)-MEA;18;NULL;0;0;1;0;CDU/GPU/CRU/DSV/FCC/HCR/HDS/HDT/ISOM/VISB/WT/NGF/REFP/MEA;Atmospheric Distillation,Gas Plant,Catalytic Reforming,Vacuum Distillation,Fluid Catalytic Cracking,Hydrocracking,Hydrodesulphurisation,Hydrotreatment,Isomerisation,Visbreaking,Water Cooling,NG Combustion Furnace,Refinery products,Monoethanolamine Carbon Capture;NULL;NULL;2018;0;0;0;0
178;REF-SMR-MEA;18;NULL;0;0;1;0;CDU/GPU/CRU/DSV/FCC/HCR/HDS/HDT/ISOM/VISB/WT/NGF/REFP/MEA/SMR;Atmospheric Distillation,Gas Plant,Catalytic Reforming,Vacuum Distillation,Fluid Catalytic Cracking,Hydrocracking,Hydrodesulphurisation,Hydrotreatment,Isomerisation,Visbreaking,Water Cooling,NG Combustion Furnace,Refinery products,Monoethanolamine Carbon Capture,Steam methane reforming;NULL;NULL;2018;0;0.03226;0.04458;0.08
179;(BM)FT;18;NULL;0;0;1;0;Biogasi/FT/WT/Biogasi/FT;Biomass gasification (FT and MEOH),Fischer-Tropsch plant,Water Cooling,Biomass gasification (FT and MEOH),Fischer-Tropsch plant;NULL;NULL;2018;0;0.04559;0.07671;0.16623
180;(BM+H2)FT;18;NULL;0;0;1;0;Biogasi/FT/WT/Biogasi/FT;Biomass gasification (FT and MEOH),Fischer-Tropsch plant,Water Cooling,Biomass gasification (FT and MEOH),Fischer-Tropsch plant;NULL;NULL;2018;0;0;0;0
181;(BM+H2)FT-AEL;18;NULL;0;0;1;0;Biogasi/FT/WT/AEL/Biogasi/FT;Biomass gasification (FT and MEOH),Fischer-Tropsch plant,Water Cooling,Electrolyser,Biomass gasification (FT and MEOH),Fischer-Tropsch plant;NULL;NULL;2018;0;0;0;0
182;(BM)FT-MEA;18;NULL;0;0;1;0;Biogasi/FT/WT/MEA/Biogasi/FT;Biomass gasification (FT and MEOH),Fischer-Tropsch plant,Water Cooling,Monoethanolamine Carbon Capture,Biomass gasification (FT and MEOH),Fischer-Tropsch plant;NULL;NULL;2018;0;0;0;0
183;(BM+H2)FT-MEA;18;NULL;0;0;1;0;Biogasi/FT/WT/MEA/Biogasi/FT;Biomass gasification (FT and MEOH),Fischer-Tropsch plant,Water Cooling,Monoethanolamine Carbon Capture,Biomass gasification (FT and MEOH),Fischer-Tropsch plant;NULL;NULL;2018;0;0;0;0
184;(BM+H2)FT-AEL-MEA;18;NULL;0;0;1;0;Biogasi/FT/WT/MEA/AEL/Biogasi/FT;Biomass gasification (FT and MEOH),Fischer-Tropsch plant,Water Cooling,Monoethanolamine Carbon Capture,Electrolyser,Biomass gasification (FT and MEOH),Fischer-Tropsch plant;NULL;NULL;2018;0;0;0;0
185;(BM)MeOH;26;NULL;0;0;1;0;Biogasi/FT/MEOH/WT/Biogasi/FT/MEOH;Biomass gasification (FT and MEOH),Fischer-Tropsch plant,Methanol synthesis,Water Cooling,Biomass gasification (FT and MEOH),Fischer-Tropsch plant,Methanol synthesis;NULL;NULL;2018;0;0.04559;0.07671;0.16623
186;(BM+H2)MeOH;26;NULL;0;0;1;0;Biogasi/FT/MEOH/WT/Biogasi/FT/MEOH;Biomass gasification (FT and MEOH),Fischer-Tropsch plant,Methanol synthesis,Water Cooling,Biomass gasification (FT and MEOH),Fischer-Tropsch plant,Methanol synthesis;NULL;NULL;2018;0;0;0;0
187;(BM+H2)MeOH-AEL;26;NULL;0;0;1;0;Biogasi/FT/MEOH/WT/AEL/Biogasi/FT/MEOH;Biomass gasification (FT and MEOH),Fischer-Tropsch plant,Methanol synthesis,Water Cooling,Electrolyser,Biomass gasification (FT and MEOH),Fischer-Tropsch plant,Methanol synthesis;NULL;NULL;2018;0;0;0;0
188;(BM)MeOH-MEA;26;NULL;0;0;1;0;Biogasi/FT/MEOH/WT/MEA/Biogasi/FT/MEOH;Biomass gasification (FT and MEOH),Fischer-Tropsch plant,Methanol synthesis,Water Cooling,Monoethanolamine Carbon Capture,Biomass gasification (FT and MEOH),Fischer-Tropsch plant,Methanol synthesis;NULL;NULL;2018;0;0;0;0
189;(BM+H2)MeOH-MEA;26;NULL;0;0;1;0;Biogasi/FT/MEOH/WT/MEA/Biogasi/FT/MEOH;Biomass gasification (FT and MEOH),Fischer-Tropsch plant,Methanol synthesis,Water Cooling,Monoethanolamine Carbon Capture,Biomass gasification (FT and MEOH),Fischer-Tropsch plant,Methanol synthesis;NULL;NULL;2018;0;0;0;0
190;(BM+H2)MeOH-AEL-MEA;26;NULL;0;0;1;0;Biogasi/FT/MEOH/WT/MEA/AEL/Biogasi/FT/MEOH;Biomass gasification (FT and MEOH),Fischer-Tropsch plant,Methanol synthesis,Water Cooling,Monoethanolamine Carbon Capture,Electrolyser,Biomass gasification (FT and MEOH),Fischer-Tropsch plant,Methanol synthesis;NULL;NULL;2018;0;0;0;0
191;(COEL)FT;18;NULL;0;0;1;0;COELEC/FT/WT/COELEC/FT;Coelectrolysis,Fischer-Tropsch plant,Water Cooling,Coelectrolysis,Fischer-Tropsch plant;NULL;NULL;2018;0;0;0;0
192;(COEL)FT-MEA;18;NULL;0;0;1;0;COELEC/FT/WT/MEA/COELEC/FT;Coelectrolysis,Fischer-Tropsch plant,Water Cooling,Monoethanolamine Carbon Capture,Coelectrolysis,Fischer-Tropsch plant;NULL;NULL;2018;0;0.00669;0.01755;0.0488
193;(COEL)MeOH;26;NULL;0;0;1;0;COELEC/MEOH/WT/COELEC/MEOH;Coelectrolysis,Methanol synthesis,Water Cooling,Coelectrolysis,Methanol synthesis;NULL;NULL;2018;0;0;0;0
194;(COEL)MeOH-MEA;26;NULL;0;0;1;0;COELEC/MEOH/WT/MEA/COELEC/MEOH;Coelectrolysis,Methanol synthesis,Water Cooling,Monoethanolamine Carbon Capture,Coelectrolysis,Methanol synthesis;NULL;NULL;2018;0;0.00669;0.01755;0.0488
195;EU-mix-2018;18;2018;1;0;1;0;CDU/CRU/DSV/FCC/GPU/HCR/HDS/HDT/ISOM/NGF/REFP/SMR/VISB/WT;Atmospheric Distillation,Catalytic Reforming,Vacuum Distillation,Fluid Catalytic Cracking,Gas Plant,Hydrocracking,Hydrodesulphurisation,Hydrotreatment,Isomerisation,NG Combustion Furnace,Refinery products,Steam methane reforming,Visbreaking,Water Cooling;NULL;NULL;2018;1;0;0;0
196;EU-mix-2030;18;2030;1;0;1;0;Biogasi/CDU/COELEC/CRU/DSV/FCC/FT/GPU/HCR/HDS/HDT/ISOM/MEA/MEOH/NGF/REFP/SMR/VISB/WT;Biomass gasification (FT and MEOH),Atmospheric Distillation,Coelectrolysis,Catalytic Reforming,Vacuum Distillation,Fluid Catalytic Cracking,Fischer-Tropsch plant,Gas Plant,Hydrocracking,Hydrodesulphurisation,Hydrotreatment,Isomerisation,Monoethanolamine Carbon Capture,Methanol synthesis,NG Combustion Furnace,Refinery products,Steam methane reforming,Visbreaking,Water Cooling;NULL;NULL;2018;0;1;0;0
197;EU-mix-2040;18;2040;1;0;1;0;Biogasi/CDU/COELEC/CRU/DSV/FCC/FT/GPU/HCR/HDS/HDT/ISOM/MEA/MEOH/NGF/REFP/SMR/VISB/WT;Biomass gasification (FT and MEOH),Atmospheric Distillation,Coelectrolysis,Catalytic Reforming,Vacuum Distillation,Fluid Catalytic Cracking,Fischer-Tropsch plant,Gas Plant,Hydrocracking,Hydrodesulphurisation,Hydrotreatment,Isomerisation,Monoethanolamine Carbon Capture,Methanol synthesis,NG Combustion Furnace,Refinery products,Steam methane reforming,Visbreaking,Water Cooling;NULL;NULL;2018;0;0;1;0
198;EU-mix-2050;18;2050;1;0;1;0;Biogasi/CDU/COELEC/CRU/DSV/FCC/FT/GPU/HCR/HDS/HDT/ISOM/MEA/MEOH/NGF/REFP/SMR/VISB/WT;Biomass gasification (FT and MEOH),Atmospheric Distillation,Coelectrolysis,Catalytic Reforming,Vacuum Distillation,Fluid Catalytic Cracking,Fischer-Tropsch plant,Gas Plant,Hydrocracking,Hydrodesulphurisation,Hydrotreatment,Isomerisation,Monoethanolamine Carbon Capture,Methanol synthesis,NG Combustion Furnace,Refinery products,Steam methane reforming,Visbreaking,Water Cooling;NULL;NULL;2018;0;0;0;1
199;BF-BOF;20;NULL;0;1;1;0;BF/CP/RM/SP/BOF/LM-CC/PCoal;Blast furnace,Coke Plant,Rolling Mill,Sinter Plant,Basic Oxygen Furnace,Ladle Metal. & Cont.Casting,Pulverized Coal;NULL;NULL;2018;1;0.71556;0.35778;0
200;BF-BOF-MEA;20;NULL;0;0;1;0;BF/CP/RM/SP/BOF/LM-CC/PCoal/EAF-MEA;Blast furnace,Coke Plant,Rolling Mill,Sinter Plant,Basic Oxygen Furnace,Ladle Metal. & Cont.Casting,Pulverized Coal,Monoethanolamine carbon capture;NULL;NULL;2018;0;0.02364;0.059;0.09435
201;WPI-BOF;20;NULL;0;0;1;0;CP/RM/SP/BOF/LM-CC/PCoal/PL/WPI-BP;Coke Plant,Rolling Mill,Sinter Plant,Basic Oxygen Furnace,Ladle Metal. & Cont.Casting,Pulverized Coal,Plastics pre-treatment for BF,Waste Plastic Injection BF;NULL;NULL;2018;0;0;0;0
202;WPI-BOF-MEA;20;NULL;0;0;1;0;CP/RM/SP/BOF/LM-CC/PCoal/PL/WPI-BP/EAF-MEA;Coke Plant,Rolling Mill,Sinter Plant,Basic Oxygen Furnace,Ladle Metal. & Cont.Casting,Pulverized Coal,Plastics pre-treatment for BF,Waste Plastic Injection BF,Monoethanolamine carbon capture;NULL;NULL;2018;0;0.02364;0.059;0.09435
203;(NG)DRI-EAF;20;NULL;0;0;1;0;RM/LM-CC/DRI-EAF/(NG)SF;Rolling Mill,Ladle Metal. & Cont.Casting,DRI-Electric Arc Furnace,NG Shaft Furnace;NULL;NULL;2018;0;0.1694;0.0847;0
204;(NG)DRI-EAF-MEA;20;NULL;0;0;1;0;RM/LM-CC/DRI-EAF/(NG)SF/(NG)DRI-MEA/EAF-MEA;Rolling Mill,Ladle Metal. & Cont.Casting,DRI-Electric Arc Furnace,NG Shaft Furnace,DRI(NG) carbon capture,Monoethanolamine carbon capture;NULL;NULL;2018;0;0.04245;0.10593;0.1694
