product_id;product;sector_id;product_description;product_remark
0;cement;2;NULL;NULL
1;cement-CEM1;2;NULL;NULL
2;cement-CEM2;2;NULL;NULL
3;cement-LC3;2;NULL;NULL
4;chemical-PE;6;NULL;NULL
5;chemical-PEA;6;NULL;NULL
6;chemical-other-olefins;6;NULL;NULL
7;chemical-ethylene;6;NULL;NULL
8;chemical-propylene;6;NULL;NULL
9;chemical-cracker-all;6;NULL;NULL
10;chemical-olefins;6;NULL;NULL
11;fertiliser-ammonia;5;NULL;NULL
12;fertiliser-nitric-acid;5;NULL;NULL
13;fertiliser-urea;5;NULL;NULL
